id,question,answer,keywords
1,What is this platform?,This is a simple AI-driven chatbot platform built with Next.js and CSV storage.,overview platform nextjs csv
2,How do I upload training data?,Use the Upload CSV section on the chat page and select a valid CSV file.,upload csv training
3,What columns are required?,Use columns id question answer keywords for best matching.,columns schema required
4,Is there a database?,No this project uses CSV files instead of a database.,database csv storage
5,Can this run on Vercel?,Yes the frontend and API routes are designed for Vercel deployment.,vercel deploy hosting
6,Sample question 6,Sample answer 6 for demo training data row 6.,sample demo generic keyword6
7,Sample question 7,Sample answer 7 for demo training data row 7.,sample demo generic keyword7
8,Sample question 8,Sample answer 8 for demo training data row 8.,sample demo generic keyword8
9,Sample question 9,Sample answer 9 for demo training data row 9.,sample demo generic keyword9
10,Sample question 10,Sample answer 10 for demo training data row 10.,sample demo generic keyword10
11,Sample question 11,Sample answer 11 for demo training data row 11.,sample demo generic keyword11
12,Sample question 12,Sample answer 12 for demo training data row 12.,sample demo generic keyword12
13,Sample question 13,Sample answer 13 for demo training data row 13.,sample demo generic keyword13
14,Sample question 14,Sample answer 14 for demo training data row 14.,sample demo generic keyword14
15,Sample question 15,Sample answer 15 for demo training data row 15.,sample demo generic keyword15
16,Sample question 16,Sample answer 16 for demo training data row 16.,sample demo generic keyword16
17,Sample question 17,Sample answer 17 for demo training data row 17.,sample demo generic keyword17
18,Sample question 18,Sample answer 18 for demo training data row 18.,sample demo generic keyword18
19,Sample question 19,Sample answer 19 for demo training data row 19.,sample demo generic keyword19
20,Sample question 20,Sample answer 20 for demo training data row 20.,sample demo generic keyword20
21,Sample question 21,Sample answer 21 for demo training data row 21.,sample demo generic keyword21
22,Sample question 22,Sample answer 22 for demo training data row 22.,sample demo generic keyword22
23,Sample question 23,Sample answer 23 for demo training data row 23.,sample demo generic keyword23
24,Sample question 24,Sample answer 24 for demo training data row 24.,sample demo generic keyword24
25,Sample question 25,Sample answer 25 for demo training data row 25.,sample demo generic keyword25
26,Sample question 26,Sample answer 26 for demo training data row 26.,sample demo generic keyword26
27,Sample question 27,Sample answer 27 for demo training data row 27.,sample demo generic keyword27
28,Sample question 28,Sample answer 28 for demo training data row 28.,sample demo generic keyword28
29,Sample question 29,Sample answer 29 for demo training data row 29.,sample demo generic keyword29
30,Sample question 30,Sample answer 30 for demo training data row 30.,sample demo generic keyword30
31,Sample question 31,Sample answer 31 for demo training data row 31.,sample demo generic keyword31
32,Sample question 32,Sample answer 32 for demo training data row 32.,sample demo generic keyword32
33,Sample question 33,Sample answer 33 for demo training data row 33.,sample demo generic keyword33
34,Sample question 34,Sample answer 34 for demo training data row 34.,sample demo generic keyword34
35,Sample question 35,Sample answer 35 for demo training data row 35.,sample demo generic keyword35
36,Sample question 36,Sample answer 36 for demo training data row 36.,sample demo generic keyword36
37,Sample question 37,Sample answer 37 for demo training data row 37.,sample demo generic keyword37
38,Sample question 38,Sample answer 38 for demo training data row 38.,sample demo generic keyword38
39,Sample question 39,Sample answer 39 for demo training data row 39.,sample demo generic keyword39
40,Sample question 40,Sample answer 40 for demo training data row 40.,sample demo generic keyword40
41,Sample question 41,Sample answer 41 for demo training data row 41.,sample demo generic keyword41
42,Sample question 42,Sample answer 42 for demo training data row 42.,sample demo generic keyword42
43,Sample question 43,Sample answer 43 for demo training data row 43.,sample demo generic keyword43
44,Sample question 44,Sample answer 44 for demo training data row 44.,sample demo generic keyword44
45,Sample question 45,Sample answer 45 for demo training data row 45.,sample demo generic keyword45
46,Sample question 46,Sample answer 46 for demo training data row 46.,sample demo generic keyword46
47,Sample question 47,Sample answer 47 for demo training data row 47.,sample demo generic keyword47
48,Sample question 48,Sample answer 48 for demo training data row 48.,sample demo generic keyword48
49,Sample question 49,Sample answer 49 for demo training data row 49.,sample demo generic keyword49
50,Sample question 50,Sample answer 50 for demo training data row 50.,sample demo generic keyword50
51,Sample question 51,Sample answer 51 for demo training data row 51.,sample demo generic keyword51
52,Sample question 52,Sample answer 52 for demo training data row 52.,sample demo generic keyword52
53,Sample question 53,Sample answer 53 for demo training data row 53.,sample demo generic keyword53
54,Sample question 54,Sample answer 54 for demo training data row 54.,sample demo generic keyword54
55,Sample question 55,Sample answer 55 for demo training data row 55.,sample demo generic keyword55
56,Sample question 56,Sample answer 56 for demo training data row 56.,sample demo generic keyword56
57,Sample question 57,Sample answer 57 for demo training data row 57.,sample demo generic keyword57
58,Sample question 58,Sample answer 58 for demo training data row 58.,sample demo generic keyword58
59,Sample question 59,Sample answer 59 for demo training data row 59.,sample demo generic keyword59
60,Sample question 60,Sample answer 60 for demo training data row 60.,sample demo generic keyword60
61,Sample question 61,Sample answer 61 for demo training data row 61.,sample demo generic keyword61
62,Sample question 62,Sample answer 62 for demo training data row 62.,sample demo generic keyword62
63,Sample question 63,Sample answer 63 for demo training data row 63.,sample demo generic keyword63
64,Sample question 64,Sample answer 64 for demo training data row 64.,sample demo generic keyword64
65,Sample question 65,Sample answer 65 for demo training data row 65.,sample demo generic keyword65
66,Sample question 66,Sample answer 66 for demo training data row 66.,sample demo generic keyword66
67,Sample question 67,Sample answer 67 for demo training data row 67.,sample demo generic keyword67
68,Sample question 68,Sample answer 68 for demo training data row 68.,sample demo generic keyword68
69,Sample question 69,Sample answer 69 for demo training data row 69.,sample demo generic keyword69
70,Sample question 70,Sample answer 70 for demo training data row 70.,sample demo generic keyword70
71,Sample question 71,Sample answer 71 for demo training data row 71.,sample demo generic keyword71
72,Sample question 72,Sample answer 72 for demo training data row 72.,sample demo generic keyword72
73,Sample question 73,Sample answer 73 for demo training data row 73.,sample demo generic keyword73
74,Sample question 74,Sample answer 74 for demo training data row 74.,sample demo generic keyword74
75,Sample question 75,Sample answer 75 for demo training data row 75.,sample demo generic keyword75
76,Sample question 76,Sample answer 76 for demo training data row 76.,sample demo generic keyword76
77,Sample question 77,Sample answer 77 for demo training data row 77.,sample demo generic keyword77
78,Sample question 78,Sample answer 78 for demo training data row 78.,sample demo generic keyword78
79,Sample question 79,Sample answer 79 for demo training data row 79.,sample demo generic keyword79
80,Sample question 80,Sample answer 80 for demo training data row 80.,sample demo generic keyword80
81,Sample question 81,Sample answer 81 for demo training data row 81.,sample demo generic keyword81
82,Sample question 82,Sample answer 82 for demo training data row 82.,sample demo generic keyword82
83,Sample question 83,Sample answer 83 for demo training data row 83.,sample demo generic keyword83
84,Sample question 84,Sample answer 84 for demo training data row 84.,sample demo generic keyword84
85,Sample question 85,Sample answer 85 for demo training data row 85.,sample demo generic keyword85
86,Sample question 86,Sample answer 86 for demo training data row 86.,sample demo generic keyword86
87,Sample question 87,Sample answer 87 for demo training data row 87.,sample demo generic keyword87
88,Sample question 88,Sample answer 88 for demo training data row 88.,sample demo generic keyword88
89,Sample question 89,Sample answer 89 for demo training data row 89.,sample demo generic keyword89
90,Sample question 90,Sample answer 90 for demo training data row 90.,sample demo generic keyword90
