id,name,slug,category_id,price,short_description,description,image_url,is_active,created_at
101,Ivory Satin Dress,ivory-satin-dress,1,89.00,"Elegant satin silhouette with minimal seams.","A timeless ivory satin dress designed for evening wear with a modern neckline.",https://images.unsplash.com/photo-1495385794356-15371f348c31?auto=format&fit=crop&w=900&q=80,1,2026-01-01T00:00:00.000Z
102,Classic Linen Shirt,classic-linen-shirt,2,54.00,"Breathable linen shirt for everyday luxury.","Premium linen shirt with tailored cuffs and a relaxed modern fit.",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=900&q=80,1,2026-01-01T00:00:00.000Z
103,Minimal Leather Tote,minimal-leather-tote,3,79.00,"Structured everyday tote.","Soft-grain leather tote with magnetic closure and interior pockets.",https://images.unsplash.com/photo-1594223274512-ad4803739b7c?auto=format&fit=crop&w=900&q=80,1,2026-01-02T00:00:00.000Z
104,Cloud Runner Sneakers,cloud-runner-sneakers,4,92.00,"Comfort-first lifestyle sneaker.","Lightweight midsole and breathable knit upper for all-day movement.",https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=900&q=80,1,2026-01-02T00:00:00.000Z
105,Wool Blend Trench,wool-blend-trench,5,149.00,"Sharp outer layer for cold days.","Long wool-blend trench with clean lapels and belt closure.",https://images.unsplash.com/photo-1539533113208-f6df8cc8b543?auto=format&fit=crop&w=900&q=80,1,2026-01-03T00:00:00.000Z
106,Performance Seamless Set,performance-seamless-set,6,69.00,"Stretchy active set.","Moisture-wicking seamless top and leggings for training and lounge.",https://images.unsplash.com/photo-1518459031867-a89b944bffe4?auto=format&fit=crop&w=900&q=80,1,2026-01-03T00:00:00.000Z
107,Tailored Evening Blazer,tailored-evening-blazer,7,129.00,"Refined formal silhouette.","Slim-cut blazer with satin lapel and interior lining.",https://images.unsplash.com/photo-1593030761757-71fae45fa0e7?auto=format&fit=crop&w=900&q=80,1,2026-01-04T00:00:00.000Z
108,Oversized Graphic Hoodie,oversized-graphic-hoodie,8,64.00,"Relaxed street fit.","Heavyweight cotton hoodie with dropped shoulders and tonal print.",https://images.unsplash.com/photo-1503341504253-dff4815485f1?auto=format&fit=crop&w=900&q=80,1,2026-01-04T00:00:00.000Z
109,Silk Wrap Blouse,silk-wrap-blouse,1,72.00,"Soft drape and subtle sheen.","Wrap-style silk blouse for office to dinner transitions.",https://images.unsplash.com/photo-1483985988355-763728e1935b?auto=format&fit=crop&w=900&q=80,1,2026-01-05T00:00:00.000Z
110,Slim Fit Chinos,slim-fit-chinos,2,58.00,"Everyday tailored comfort.","Stretch-cotton chinos with tapered leg and clean finish.",https://images.unsplash.com/photo-1473966968600-fa801b869a1a?auto=format&fit=crop&w=900&q=80,1,2026-01-05T00:00:00.000Z
111,Statement Sunglasses,statement-sunglasses,3,39.00,"Bold acetate frame.","UV-protected oversized sunglasses with polished frame edges.",https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&w=900&q=80,1,2026-01-06T00:00:00.000Z
112,Minimal Chelsea Boots,minimal-chelsea-boots,4,118.00,"Clean leather boot profile.","Elastic-side ankle boots with cushioned footbed and rubber sole.",https://images.unsplash.com/photo-1543163521-1bf539c55dd2?auto=format&fit=crop&w=900&q=80,1,2026-01-06T00:00:00.000Z
